paleocurrent_trend,paleocurrent_plunge,up_or_down,bedding_dip_direction,bedding_dip,person,note,year,latitude,longitude,corrected_paleocurrent_trend,location
229,2,down,84,19,Nick S-H,flame structure verging to SW,,36.522375,-121.934668,227.07197539632492,Moss Cove
9,49,up,13,52,Nick S-H,flute casts; flow to south,2022.0,36.512357,-121.943502,190.37354831636858,South Shore
40,42,up,6,52,Nick S-H,current ripple; flow to southwest,2022.0,36.512254,-121.943461,210.62574712093743,South Shore
50,53,up,15,57,Nick S-H,current ripple; flow to southwest,2022.0,36.51219309,-121.9434169,215.1980884650581,South Shore
67,46,up,24,62,Nick S-H,current ripple; flow to southwest,2022.0,36.5122492,-121.9436111,232.4697302926184,South Shore
60,23,up,21,30,Nick S-H,current ripple; flow to southwest,2022.0,36.51237313,-121.9436279,236.40838083048968,South Shore
220,8,down,175,16,Nick S-H,current ripple; flow to southwest,2022.0,36.51299482,-121.9437297,219.54398622872745,South Shore
217,10,down,175,16,Nick S-H,current ripple; flow to southwest,2022.0,36.51300042,-121.9437216,216.25142448655043,South Shore
226,7,down,175,16,Nick S-H,current ripple; flow to southwest,2022.0,36.51299826,-121.9437421,225.58104407211195,South Shore
214,11,down,175,16,Nick S-H,current ripple; flow to southwest,2022.0,36.51300365,-121.9437576,213.16884034500674,South Shore
229,7,down,184,7,Nick S-H,current ripple; flow to southwest,2022.0,36.51302125,-121.9437305,228.60997453691684,South Shore
197,4,down,129,27,Nick S-H,current ripple; flow to southwest,2022.0,36.51325157,-121.9447582,197.4841889459029,South Shore
230,9,down,173,14,Nick S-H,current ripple; flow to southwest,2022.0,36.51326458,-121.9438708,228.94898374535427,South Shore
192,9,down,173,14,Nick S-H,current ripple; flow to southwest,2022.0,36.51328091,-121.9438976,191.81098844832042,South Shore
204,9,down,162,14,Nick S-H,current ripple; flow to southwest,2022.0,36.51320961,-121.9437357,203.38475511349893,South Shore
211,11,down,187,5,Nick S-H,current ripple; flow to southwest,2022.0,36.512801,-121.943659,210.6900227403673,South Shore
185,3,down,189,7,Nick S-H,current ripple; flow to southwest,2024.0,36.512593,-121.943445,184.9958038587778,South Shore
65,41,up,359,71,Nick S-H,current ripple; flow to southwest,2024.0,36.512282,-121.943014,222.74864378996105,South Shore
71,43,up,35,51,Nick S-H,current ripple; flow to southwest,2024.0,36.512256,-121.94349,240.47267807235275,South Shore
215,14,down,194,15,Nick S-H,current ripple; flow to southwest,2024.0,36.512852,-121.94362,214.3481063219793,South Shore
213,21,down,196,8,Nick S-H,current ripple; flow to southwest,2024.0,36.512783,-121.943595,212.29092234045166,South Shore
236,13,down,201,11,Nick S-H,current ripple; flow to southwest,2024.0,36.512838,-121.943581,235.06910462604242,South Shore
244,12,down,222,11,Nick S-H,current ripple; flow to southwest,2024.0,36.512762,-121.943584,243.5059114208209,South Shore
79,11,up,13,35,Nick S-H,current ripple; flow to southwest,2024.0,36.512441,-121.943653,257.04535167470254,South Shore
66,43,up,17,56,Nick S-H,current ripple; flow to southwest,2024.0,36.512285,-121.943503,230.5066663670415,South Shore
207,2,down,168,9,Leah, Ripple  flow to SW,2024.0,36.513159,-121.943773,207.14849425597842,South Shore
220,9,down,149,15,Leah, Ripples  flow to SW,2024.0,36.513248,-121.943892,218.3962552261304,South Shore
185,2,down,154,13,Leah, Ripple  flow to SW,2024.0,36.513283,-121.943879,185.42158037947527,South Shore
202,10,down,132,17,Leah, Ripples  flow to SW,2024.0,36.51331,-121.943948,200.05411207311573,South Shore
224,9,down,148,17,Leah, Ripples flow to SW,2024.0,36.513351,-121.943989,222.0310860359303,South Shore
211,9,down,142,10,Leah, Ripples  flow to SW,2024.0,36.513214,-121.943781,209.82948959381747,South Shore
192,11,down,191,8,Leah, Flame structure  flow to SW,2024.0,36.513168,-121.943702,191.98297370420102,South Shore
216,12,down,160,12,Leah, Ripple  flow to SW,2024.0,36.513052,-121.943711,214.5082716626162,South Shore
217,11,down,175,11,Leah, Ripple  flow to SW,2024.0,36.512952,-121.943713,216.116958426315,South Shore
200,10,down,201,5,Leah, Ripple  flow to SW,2024.0,36.512829,-121.943591,200.011430447162,South Shore
209,10,down,149,13,Leah, Ripple  flow to SW,2024.0,36.513215,-121.943884,207.68559468119838,South Shore
231,14,down,172,14,Leah, Ripple  flow to SW,2024.0,36.51326,-121.943947,228.84014718071757,South Shore
235,7,down,147,10,Leah, Ripple  flow to SW,2024.0,36.512962,-121.943558,233.81051674830914,South Shore
104,9,up,68,17,Leah, Flame structure  flow to WNW,2024.0,36.522104,-121.934577,283.6342438115313,Moss Cove
122,7,up,82,6,Leah, Ripple  flow to NW,2024.0,36.522226,-121.935015,301.6839650479723,Moss Cove
80,31,up,19,58,Leah, Ripple  flow to WSW,2024.0,36.51225,-121.943515,247.77045571304944,South Shore
60,39,up,6,63,Leah, Ripple  flow to SW,2024.0,36.512213,-121.943416,225.30152975705766,South Shore
235,8,down,164,19,Leah, Ripple  flow to SW,2024.0,36.513358,-121.944507,233.4962015300344,South Shore
